"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
1,0,1,10,0,3,6,331,124,9,8,6,6,6,0,0.4,0.0952380952380952,0.00650165887736539,199
5,9.2,24,72,0,3,6,575,267,60,4,10,10,10,5,0.222222222222222,0.1,0.0276898175899286,415
78,0.0128,927,336,1,4,10,150579,105682,319,1,24,24,24,9,0.036231884057971,0.0909090909090909,1,527
6,7.5,0,0,0,5,9,0,0,0,5,0,0,0,0,0,0.0909090909090909,7.02983578817571e-06,535
1,18,36,245,0,4,7,2244,7746,222,11,10,10,10,0,0.222222222222222,0.0980392156862745,0.347858700636484,543
3,0,1,0,0,3,6,2,1,0,6,4,4,4,0,0,0.0645161290322581,0.00169761254888537,818
1,0,2,3,0,2,9,4,2,3,10,6,6,6,11,0.4,0.103092783505155,0.00108103164748595,833
1,0,1,0,0,2,8,719,0,0,7,4,4,4,0,0,0.0869565217391304,0.000242287443603351,1554
0,0,0,2,0,5,6,0,0,0,9,0,0,0,0,0,0.0909090909090909,7.02983578817571e-06,2913
10,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0909090909090909,7.02983578817571e-06,378235
0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0.0909090909090909,7.02983578817571e-06,378243
