"no_of_bug_owned","avg_resolution","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
2,0,9,12,0,3,6,279,120,10,5,10,10,10,0,0.222222222222222,0.123456790123457,0.0148769002258766,415
107,0.6542,570,212,18,4,10,100984,50098,193,1,36,36,36,6,0.0253968253968254,0.0884955752212389,1,527
16,15.5625,28,5,7,5,9,457,142,5,6,20,20,20,6,0.0631578947368421,0.12987012987013,0.0414458919261773,535
2,14,19,90,0,4,7,942,492,80,11,12,12,12,9.77777777777778,0.212121212121212,0.140845070422535,0.149525001942064,543
3,7.3333,4,0,0,3,6,134,18,0,7,6,6,6,0,0.133333333333333,0.112359550561798,0.00437369643961903,818
0,0,3,23,0,2,6,42,370,15,10,4,4,4,0,0,0.08,0.00268721624569378,1528
1,0,0,0,0,4,7,0,0,0,4,0,0,0,0,0,0.0909090909090909,8.10270151521074e-06,1549
1,11,2,2,0,1,7,28,1,2,8,8,8,8,15.7777777777778,0.214285714285714,0.144927536231884,0.00480610608339117,2677
1,0,1,17,0,1,8,7,1,12,9,8,8,8,5.77777777777778,0.214285714285714,0.133333333333333,0.00396061684182361,2678
33,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0.0909090909090909,8.10270151521074e-06,378235
2,10.5,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0.0909090909090909,8.10270151521074e-06,378243
