"no_of_review_by_the_author_got_merged","AVG_Merge_Time","scmChanges","scrChanges","mslChanges","number_of_domain","country","linesadded","linesremoved","ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality","upeople_id"
23,0,3572,48,540,4,9,15759757,15098378,23,1,4,4,4,1,0,0.0648648648648649,1,219
0,0,0,0,8,2,9,0,0,0,2,0,0,0,0,0,0.0769230769230769,0.319668747856408,432
11,0,572,22,377,3,8,193869,173276,11,3,2,2,2,0,0,0.0571428571428571,0.63933744148563,524
4,0,1,6,15,7,8,84,7,4,5,2,2,2,0,0,0.0558139534883721,0.760285669089458,1351
0,0,32,0,163,1,9,43105,42558,0,9,0,0,0,0,0,0.0769230769230769,0.319668747856408,1599
0,0,0,0,0,6,6,0,0,0,6,0,0,0,0,0,0.0769230769230769,0.319668747856408,1860
0,0,0,0,5,2,0,0,0,0,4,0,0,0,0,0,0.0769230769230769,0.319668747856408,381522
0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0.0769230769230769,0.319668747856408,381777
0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0.0769230769230769,0.319668747856408,381787
0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0.0769230769230769,0.319668747856408,382968
0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0.0769230769230769,0.319668747856408,382969
0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0.0769230769230769,0.319668747856408,382985
0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0.0769230769230769,0.319668747856408,395807
