"upeople_id","X177scmChanges","X156scrChanges","X1mslChanges","number_of_domain","country","X177linesadded","X177linesremoved","X156ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
286,10,3,71,3,6,5414,2114,3,2,2,2,2,0,0,0.0316742081447964,0.00699801488920794
554,9,0,11,4,10,4299,2962,0,3,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
743,86,0,47,1,7,42148,24236,0,5,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
758,27,0,37,4,8,26014,601,0,1,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
817,157,134,526,7,7,261178,257147,117,14,14,14,14,20,0.021978021978022,0.032258064516129,1
876,32,18,40,5,7,2985,638,18,8,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
906,1,1,0,4,8,7,1,1,20,2,2,2,0,0,0.0308370044052863,0.0174996841550767
914,1,1,0,2,9,1,1,1,22,2,2,2,0,0,0.031390134529148,0.0104985714238806
1730,6,24,0,3,7,231,150,22,9,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
1917,1,0,146,2,6,4,4,0,6,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
1918,20,64,10,4,8,31948,1076,53,21,4,4,4,0,0.333333333333333,0.0317700453857791,0.00719213191578308
1925,26,121,14,3,8,14703,12530,108,18,2,2,2,0,0,0.0089628681177977,0.987153794583079
1926,1,3,2,1,8,5,0,1,17,4,4,4,0,0.333333333333333,0.0312035661218425,0.0140965646824525
1928,1,8,0,1,10,351,0,5,19,2,2,2,0,0,0.0228013029315961,0.157521938396913
382963,0,0,72,2,0,0,0,0,7,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
384178,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
386690,0,0,33,1,0,0,0,0,10,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
388540,0,0,63,2,0,0,0,0,11,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
389876,0,0,61,3,0,0,0,0,12,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
389891,0,0,18,1,0,0,0,0,13,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
426556,0,0,6,1,0,0,0,0,16,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
433031,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0454545454545455,2.29269468546853e-05
