"upeople_id","X253scmChanges","X294scmChanges","X125scrChanges","X226scrChanges","X1mslChanges","number_of_domain","country","X253linesadded","X253linesremoved","X294linesadded","X294linesremoved","X125ReviewGotMerged","X226ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
93,0,9,0,0,40,1,10,0,0,760,386,0,0,9,8,8,8,4,0.214285714285714,0.0477941176470588,0.00175336100377382
95,97,192,116,156,125,5,7,30494,48379,58573,759389,103,146,1,16,16,16,0,0.05,0.0462633451957295,0.00953247005289167
96,117,2625,67,1360,32,3,6,21614,22238,400694,255614,66,1325,2,12,12,12,0,0.151515151515152,0.0196374622356495,0.986755653504431
709,13,369,0,0,70,6,9,3382,285,376279,161611,0,0,7,10,10,10,0,0.222222222222222,0.0459363957597173,0.0163069040504771
1803,101,1337,14,687,9,3,9,28631,13363,387468,293855,14,667,13,18,18,18,2,0.065359477124183,0.0471014492753623,1
2042,0,0,0,0,0,1,10,0,0,0,0,0,0,12,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07
2152,0,0,0,0,0,4,7,0,0,0,0,0,0,3,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07
2886,0,0,0,0,5,4,10,0,0,0,0,0,0,6,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07
378243,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07
380492,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07
381327,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07
384444,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07
406963,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07
447349,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0714285714285714,2.25532992110435e-07
