"upeople_id","no_of_bug_owned","avg_resolution","X375scmChanges","X222scrChanges","X1mslChanges","number_of_domain","country","X375linesadded","X375linesremoved","X222ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
1386,5,0,98,15,162,3,10,239593,108088,14,15,10,10,10,0,0.0444444444444444,0.0469613259668508,0.945259321768893
2365,2,0.5,99,0,66,4,6,45893,36083,0,14,12,12,12,0,0.0303030303030303,0.0523076923076923,1
2967,5,30.6,10,0,13,1,8,250,110,0,16,6,6,6,1,0.133333333333333,0.0532915360501567,0.0373708109843394
378243,17,132.1765,0,0,0,13,0,0,0,0,18,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378767,20,0,0,0,49,2,0,0,0,0,1,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378768,1,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378769,8,180.375,0,0,14,2,0,0,0,0,3,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378771,44,1.1818,0,0,185,2,0,0,0,0,4,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378777,90,1.1778,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378778,10,0,0,0,201,2,0,0,0,0,6,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378782,13,5.8462,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378783,2,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378790,16,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378793,15,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378794,1,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378795,1,0,0,0,48,3,0,0,0,0,12,0,0,0,0,0,0.0555555555555556,0.00027469289266446
378837,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0.0555555555555556,0.00027469289266446
446705,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0.0555555555555556,0.00027469289266446
