"upeople_id","no_of_bug_owned","avg_resolution","X63scmChanges","X218scmChanges","X358scmChanges","X482scmChanges","X376scrChanges","X1mslChanges","number_of_domain","country","X63linesadded","X63linesremoved","X218linesadded","X218linesremoved","X358linesadded","X358linesremoved","X482linesadded","X482linesremoved","X376ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
273,4,0,43,19,0,38,0,1224,7,9,39274,44806,199,150,0,0,38527,44599,0,7,10,10,10,5,0.0444444444444444,0.0356652949245542,0.980878104139861
319,5,213,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.037037037037037,0.306659955621643
443,5,0,0,0,2,2,0,1,1,10,0,0,0,0,501,501,501,501,0,8,0,0,0,0,0,0.037037037037037,0.306659955621643
460,1,0,0,0,0,0,0,16,5,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.037037037037037,0.306659955621643
462,1,7,0,0,0,0,0,278,1,9,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0.037037037037037,0.306659955621643
494,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.037037037037037,0.306659955621643
517,14,23.6429,0,0,0,0,0,15,4,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.037037037037037,0.306659955621643
610,200,16.3556,1,0,0,1,0,0,5,9,20,8,0,0,0,0,20,8,0,5,2,2,2,0,0,0.0355191256830601,0
611,180,34.3466,19,7,7,23,0,203,2,6,1444,81,52,27,134,263,218,225,0,2,4,4,4,0,0.333333333333333,0.0314389359129383,1
612,329,9.9362,6,2,0,15,5,41,3,9,19,9,7,7,0,0,146,149,5,15,4,4,4,0,0.333333333333333,0.0317848410757946,0.968392636749196
620,1,0,3,1,0,4,0,0,1,8,12,11,9,9,0,0,21,20,0,27,4,4,4,0,0,0.0355191256830601,0
671,1,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.037037037037037,0.306659955621643
378243,190,16.8942,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0.037037037037037,0.306659955621643
379033,1,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.037037037037037,0.306659955621643
379552,92,30.4565,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0.037037037037037,0.306659955621643
380964,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0.037037037037037,0.306659955621643
381246,102,10.6176,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0.037037037037037,0.306659955621643
381449,48,23.2708,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0.037037037037037,0.306659955621643
387404,2,33.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0.037037037037037,0.306659955621643
390006,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0.037037037037037,0.306659955621643
390020,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0.037037037037037,0.306659955621643
390046,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0.037037037037037,0.306659955621643
390073,3,0.6667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0.037037037037037,0.306659955621643
447349,7,4.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0.037037037037037,0.306659955621643
447966,163,9.9632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0.037037037037037,0.306659955621643
447981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.037037037037037,0.306659955621643
447983,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.037037037037037,0.306659955621643
